arch,hidden_size,regularizer,if_mode,L,T,sigma,acc_mean,acc_std,n_seeds
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.35,97.948000,0.148560,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.40,97.928000,0.125579,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.45,97.904000,0.158524,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.50,97.938000,0.129112,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.55,97.880000,0.106771,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.60,97.876000,0.141527,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.65,97.780000,0.084558,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.70,97.850000,0.113358,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.75,97.736000,0.092087,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.80,97.756000,0.150433,5
