arch,hidden_size,regularizer,L,T,seed,if_mode,acc,checkpoint
fc3_h8,8,weight_decay,2,4,41,normal,89.880000,mnist-checkpoints/fc3_h8_L[2]_strict_seed41_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,4,42,normal,83.830000,mnist-checkpoints/fc3_h8_L[2]_strict_seed42_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,4,43,normal,92.270000,mnist-checkpoints/fc3_h8_L[2]_strict_seed43_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,4,44,normal,77.730000,mnist-checkpoints/fc3_h8_L[2]_strict_seed44_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,8,40,normal,92.850000,mnist-checkpoints/fc3_h8_L[2]_strict_seed40_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,8,41,normal,89.990000,mnist-checkpoints/fc3_h8_L[2]_strict_seed41_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,8,42,normal,84.480000,mnist-checkpoints/fc3_h8_L[2]_strict_seed42_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,8,43,normal,92.320000,mnist-checkpoints/fc3_h8_L[2]_strict_seed43_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,8,44,normal,77.770000,mnist-checkpoints/fc3_h8_L[2]_strict_seed44_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,16,40,normal,92.900000,mnist-checkpoints/fc3_h8_L[2]_strict_seed40_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,16,41,normal,90.030000,mnist-checkpoints/fc3_h8_L[2]_strict_seed41_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,16,42,normal,84.360000,mnist-checkpoints/fc3_h8_L[2]_strict_seed42_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,16,43,normal,92.560000,mnist-checkpoints/fc3_h8_L[2]_strict_seed43_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,16,44,normal,77.870000,mnist-checkpoints/fc3_h8_L[2]_strict_seed44_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,32,40,normal,92.840000,mnist-checkpoints/fc3_h8_L[2]_strict_seed40_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,32,41,normal,89.970000,mnist-checkpoints/fc3_h8_L[2]_strict_seed41_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,32,42,normal,84.510000,mnist-checkpoints/fc3_h8_L[2]_strict_seed42_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,32,43,normal,92.500000,mnist-checkpoints/fc3_h8_L[2]_strict_seed43_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,32,44,normal,77.780000,mnist-checkpoints/fc3_h8_L[2]_strict_seed44_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,4,2,40,normal,89.220000,mnist-checkpoints/fc3_h8_L[4]_strict_seed40_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,2,41,normal,83.620000,mnist-checkpoints/fc3_h8_L[4]_strict_seed41_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,2,42,normal,86.640000,mnist-checkpoints/fc3_h8_L[4]_strict_seed42_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,2,43,normal,85.680000,mnist-checkpoints/fc3_h8_L[4]_strict_seed43_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,2,44,normal,69.730000,mnist-checkpoints/fc3_h8_L[4]_strict_seed44_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,4,40,normal,92.400000,mnist-checkpoints/fc3_h8_L[4]_strict_seed40_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,4,41,normal,86.820000,mnist-checkpoints/fc3_h8_L[4]_strict_seed41_ablation_wd_l4_fc3_h8.pth
