family,arch,size_label,hidden_size,c1,c2,regularizer,L,T,seed,if_mode,acc,checkpoint
fc3,fc3_h128,h128,128,,,weight_decay,4,0,41,normal,97.660000,mnist-checkpoints/fc3_h128_L[4]_strict_seed41_ablation_wd_l4_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,4,0,42,normal,97.660000,mnist-checkpoints/fc3_h128_L[4]_strict_seed42_ablation_wd_l4_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,4,0,43,normal,97.790000,mnist-checkpoints/fc3_h128_L[4]_strict_seed43_ablation_wd_l4_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,4,0,44,normal,97.590000,mnist-checkpoints/fc3_h128_L[4]_strict_seed44_ablation_wd_l4_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,8,0,40,normal,97.810000,mnist-checkpoints/fc3_h128_L[8]_strict_seed40_ablation_wd_l8_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,8,0,41,normal,97.720000,mnist-checkpoints/fc3_h128_L[8]_strict_seed41_ablation_wd_l8_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,8,0,42,normal,97.860000,mnist-checkpoints/fc3_h128_L[8]_strict_seed42_ablation_wd_l8_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,8,0,43,normal,97.770000,mnist-checkpoints/fc3_h128_L[8]_strict_seed43_ablation_wd_l8_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,8,0,44,normal,97.930000,mnist-checkpoints/fc3_h128_L[8]_strict_seed44_ablation_wd_l8_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,16,0,40,normal,97.840000,mnist-checkpoints/fc3_h128_L[16]_strict_seed40_ablation_wd_l16_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,16,0,41,normal,97.930000,mnist-checkpoints/fc3_h128_L[16]_strict_seed41_ablation_wd_l16_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,16,0,42,normal,97.660000,mnist-checkpoints/fc3_h128_L[16]_strict_seed42_ablation_wd_l16_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,16,0,43,normal,97.760000,mnist-checkpoints/fc3_h128_L[16]_strict_seed43_ablation_wd_l16_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,16,0,44,normal,97.870000,mnist-checkpoints/fc3_h128_L[16]_strict_seed44_ablation_wd_l16_fc3_h128.pth
